smiles,logP,qed,SAS
O=C(Cn1cc(C(F)(F)F)cc(Cl)c1=O)N[C@H]1CCCC[C@@H]1C(F)(F)F,3.7578,0.7571,3.3508
CC[NH+]1CCN(Cc2c(O)ccc3cc(-c4ccc(OC)cc4OC)c(=O)oc23)CC1,1.9032,0.5914,3.3502
CCOc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Br,5.1189,0.7588,1.8139
Cc1nc(C)c(C(=O)NCCc2ccc(F)cc2C)o1,2.7115,0.9294,2.3036
COc1c(Br)cc([N+](=O)[O-])c(OC)c1C(=O)NC(=O)Nc1c(C)cccc1C,3.9532,0.5059,2.4766
Cc1nn(C)c([C@H](C#N)c2cccs2)c1S(=O)(=O)N(C)C,1.6958,0.864,3.4378
CN1C(=O)N(C)C(=O)C2(Cc3cc(/C=C4/C(=O)NC(=S)N=C4[O-])ccc3N3CCC[C@@H]32)C1=O,-0.1948,0.3566,4.3672
CCNC(=O)c1ccc(C)c(NC(=O)N[C@H](C)Cc2ccc(C)cc2C)c1,4.1143,0.6917,2.4803
CCOC(=O)c1ccc(N[C@@H]2CCCN(c3ncccn3)C2)nc1,2.1292,0.8457,2.6983
Cc1cc(F)ccc1-n1c(N)nc2c(C)ccnc21,2.7586,0.724,2.3824
CCC[C@@H](C#N)NC(=O)c1c(C)nn(CCCl)c1C,2.1608,0.8157,3.1631
C[C@@H]1CCCCN1c1ncnc(N2CC[NH+](C)CC2)c1N,-0.2277,0.8146,4.0817
CC(C)(C)C(=O)N1CCC(C(=O)Nc2ccc(Br)cc2F)CC1,3.8114,0.8161,2.0557
Cc1occc1C(=O)NNC(=O)c1cccc([N+](=O)[O-])c1,1.571,0.663,2.0772
CN(CC[NH+](C)C)c1ccc2c(c1)OCO2,-0.004,0.8002,3.3756
O=C(Cc1cccc2ccccc12)Nc1ccc(C(=O)Nc2nccs2)cc1,4.7298,0.497,1.9187
COc1ccc(S(=O)(=O)Nc2cc(C)c(O)c(S(=O)(=O)c3ccc(OC)cc3)c2C)cc1,3.6598,0.4852,2.3349
Cc1ccc(-n2nnnc2SCc2cc(=O)n3ccccc3n2)cc1C,2.5793,0.5168,2.3951
Cc1cc(C)c(S(=O)(=O)Nc2ccc(N3CC[NH2+]CC3)c(C(=O)N3CCOCC3)c2)c(C)c1,1.2685,0.6899,3.1021
Cc1ncn(C[C@H](C)[NH2+]CCC[NH+]2C[C@@H](C)C[C@H](C)C2)c1C,0.4027,0.7187,5.6
Cc1nc(CNc2ccc(Cl)c(Cl)c2)no1,3.2969,0.9013,2.167
O=C(N[C@H]1CC(=O)N(CC(F)(F)F)C1)[C@H](O)c1ccccc1,0.9994,0.8828,3.062
CNC(=O)Cn1ccc([C@@H]([NH3+])C(C)C)c1,0.1731,0.7497,3.9596
Cc1n[nH]c(C)c1NC(=O)C[NH+](CCO)Cc1ccccc1,0.0424,0.5992,3.8468
[O-]c1cc(-c2ccc(Br)cc2)no1,2.1777,0.7681,2.7141
COc1ccccc1Cn1c(=O)c2sccc2n(CC(=O)N(C)c2cccc(C)c2)c1=O,3.253,0.4457,2.433
O=C(c1c[nH]c2ccccc12)N(Cc1ccccn1)c1nc2ccccc2s1,5.0196,0.4536,2.2341
CC[C@H](O)CCNC(=O)Nc1ccc(C(C)=O)c(C)c1,2.4801,0.6988,2.5455
Cc1ccc(C(=O)C[C@@H](C)n2nnc3ccccc32)cc1,3.5737,0.6691,2.4935
CC(C)C[C@@H]1COCCN1C(=O)c1cc(Cl)nc(N2CCCC2)c1,3.2223,0.7692,2.9713
CNC(=O)c1ccc(NC[C@H](O)COC)[nH+]n1,-1.3255,0.6058,4.1294
C[C@@H](Oc1ccc(N(C)S(C)(=O)=O)cc1)C(=O)NC1CC[NH+](C)CC1,-0.357,0.743,3.7078
Cn1cnnc1C1CC[NH+](Cc2cc3cc(F)ccc3o2)CC1,1.6629,0.8062,3.7839
C[C@H]1CN(CCCNC(=O)Nc2cc(C#N)ccc2Cl)C[C@H](C)O1,2.8325,0.7948,2.9903
Cc1ccc(C23C[C@@H]4C[C@@H](CC(C(=O)N5CCC(C(=O)[O-])CC5)(C4)C2)C3)cc1,2.8215,0.8047,4.954
C[C@@H](NC(=O)C(=O)NCc1ccsc1)c1ccccc1,2.2417,0.8498,2.4107
CCCc1ccc(N2CCC(=O)N3CCC[C@@H]3C2=O)cc1,2.3668,0.8563,2.5947
CCOc1ccc(C(=O)NCc2nnc3ccccn23)cc1[N+](=O)[O-],1.9662,0.5447,2.1966
C[C@H]1C[C@@H]([NH2+][C@@H]2CCc3ccccc32)CS1,2.1313,0.8322,4.6586
O=C(NC[C@@H](O)CN1CCOCC1)Nc1ccccc1-c1ccncc1,1.5632,0.738,2.6091
Cc1ccc(N2C(=O)N=C([O-])/C(=C\c3ccc(N(C)C)c([N+](=O)[O-])c3)C2=O)cc1,2.2782,0.4474,2.9351
COc1cc(C(=O)Nc2ccc3nn(-c4ccc(C)cc4)nc3c2)cc(OC)c1OC,4.007,0.4911,2.1677
CC[C@@](C)(NC(=O)c1cc(C2CC2)nc2ccc(F)cc12)C(=O)OC,3.3228,0.8299,2.8769
Cc1nn(Cc2c(C(=O)Nc3cccc(C(F)(F)F)c3)noc2C)c(C)c1[N+](=O)[O-],4.024,0.4718,2.5421
Cc1cccc([C@H]2CCC[NH2+]2)c1,1.3933,0.6492,4.0946
Cc1c(Cl)cccc1S(=O)(=O)N1CCCC[C@H]1C(N)=O,1.6769,0.9283,2.5592
CNC(=O)COc1ccc(C=O)cc1Br,1.3864,0.8514,2.0503
CN1CCN(C(=O)N2CCC[C@H]2CC(=O)[O-])C(C)(C)C1=O,-0.7366,0.702,3.7022
CS(=O)(=O)c1ccc(Br)c(S(=O)(=O)N2CCOc3ccccc32)c1,2.4403,0.7444,2.3206
CCc1ccc(CCC(=O)N2CC[C@](O)(C(F)(F)F)C2)cc1,2.7073,0.9237,2.8129
Cc1cc2nc(N[C@H](C)c3ccc(C)s3)c3ccccc3n2n1,4.7339,0.5663,2.9062
Brc1ccccc1[C@@H]1C[NH2+]CC[C@]12CCC[C@H](C1CC1)C2,4.0864,0.7976,4.859
CCC1(C(=O)N[C@@H](C)[C@H](O)c2ccc(OC)cc2)CCC1,2.8136,0.8415,2.9881
CC[C@H]([NH3+])c1ccn(C[C@@H]2CCCO2)c1,1.3601,0.8077,4.2343
COc1ccc([C@H]2Nc3cc(Cl)ccc3-c3ccnn32)cc1OC,4.1931,0.745,2.97
CN(Cc1cccnc1)C(=O)c1ccc2c(c1)CCC2,2.8425,0.8495,1.9519
CCCNC(=O)c1ccccc1NC(=O)CC(=O)OC,1.328,0.6138,1.7915
CC1([C@](C)(O)c2ccc(F)c(F)c2F)CC1,3.1115,0.7639,3.3715
C[C@]1(C[NH2+]C[C@H](O)c2ccc(S(C)(=O)=O)cc2)CCCO1,0.256,0.8079,4.0871
CN(CC1CCN(C(=O)c2ccnc(F)c2)CC1)C(=O)OC(C)(C)C,2.9398,0.7786,2.378
[NH3+][C@@H](c1ccccc1)[C@H](SC[C@H](O)CO)c1ccccc1,1.7973,0.7356,3.6324
CC[C@@H](CNC(=O)Cc1ccc[nH]1)Oc1ccccc1F,2.6701,0.8202,2.8823
C[C@@H](NCCc1cn2ccccc2n1)c1nc2c(s1)CCCC2,3.5629,0.7605,3.1241
C[C@H]1C[C@H]1c1ccc(C[NH+](C)[C@@H](C)CS(C)(=O)=O)o1,0.8508,0.8566,4.7848
CC(C)(C)n1cc(NCc2cnc(C3CC3)s2)cn1,3.5841,0.9048,2.8661
CC(=O)Nc1ccc2c(C(=O)[O-])c(C)c(O)nc2n1,-0.0343,0.8057,3.1473
CN(C)C(=O)c1ccc(CN[C@H]2CCC[C@@H]2c2ccccc2C(F)(F)F)[nH]1,4.1612,0.7878,3.4546
O=C(CSc1nnnn1-c1ccccc1)NC(=O)NC1CCCCC1,1.9129,0.7947,2.1221
CCCc1nn(C)c2c1NCC1(CCC(C)CC1)N2,3.1589,0.848,3.925
COCc1ccccc1NCc1nc(-c2ccc([N+](=O)[O-])cc2)no1,3.4033,0.5086,2.1753
CC(C)S[C@@H](C)C(=O)NCc1ccccc1Cl,3.4863,0.8686,2.5121
O=C(CN1CCN(C(=O)[C@@H]2CCCN(S(=O)(=O)c3cccs3)C2)CC1)Nc1ccc(F)cc1,2.0708,0.6671,2.6924
O=c1c2cc(Cl)cc(Cl)c2ncn1Cc1cc(-c2ccccc2)on1,4.4066,0.5118,2.3016
COc1ccc(Nc2ncccc2C(=O)Nc2c(C)cccc2C)cc1,4.7029,0.6708,1.8714
Cc1cccc(NC(=O)C[NH+]2CCC(C(=O)N(C)C)CC2)c1C,0.625,0.871,3.3813
Cc1cc(CC(=O)Nc2cccc(Cl)c2SC(F)F)no1,4.1323,0.8043,2.5029
C[C@@H]1CCC[C@@H]([NH+]2CCCN(C(=O)c3ccsc3)CC2)C1,2.0576,0.8926,4.5645
CSc1ccccc1C(=O)N1C[C@H]([NH3+])Cc2ccccc21,2.2219,0.8668,3.1613
C[C@H](Sc1nc2ccc(Cl)cc2[nH]1)C(=O)N[C@H](C)c1ccc(F)cc1,4.7134,0.6047,2.8452
O=C([O-])c1cccc(N[C@H]2CCCC[C@@H]2O)c1,0.7655,0.8233,3.2382
CCOc1cc(C(=O)Nc2cc(C(C)C)c(O)cc2C)ccc1OC,4.4836,0.7258,1.9851
CCCOC(=O)c1cn(Cc2ccccc2)nn1,1.8932,0.7594,1.9338
CC(=O)c1ccc(NC(=O)[C@@H](C)Sc2cc(C)ncn2)cc1,3.1069,0.5146,2.5603
CCn1c2ccccc2c2cc(NC(=O)CCOC3CCOCC3)ccc21,4.3386,0.6765,2.2478
C[C@H]1Cc2cc(S(N)(=O)=O)ccc2N1Cc1nnsc1Cl,1.7901,0.923,3.1557
CN(CC(=O)Nc1ccccc1)S(=O)(=O)c1c[nH]c2nccc(Cl)c12,2.4755,0.712,2.4011
CC(C)(O)[C@@H]1CCC[NH+]1Cc1ccccc1,1.0048,0.7914,4.3875
COC[C@H]1CN(C(=O)NCCC(C)C)CCO1,1.0893,0.7978,2.7638
CCCOc1ccc([C@H](O)C[NH3+])cc1,0.7507,0.7421,2.986
Cc1n[nH]c(C)c1CCC(=O)NCC1(c2ccccc2)CCCC1,3.5873,0.8314,2.3973
O=C(CSc1nnc(-c2cccnc2)o1)N1N=C(c2cccs2)C[C@@H]1c1ccco1,4.2561,0.399,3.1527
O=C(NCC1([O-])CCC1)c1ccccc1O,0.405,0.791,2.6325
CC[C@H]1CCCN1c1cc(C(C)=O)ccn1,2.663,0.7284,2.6318
C[NH+](C)[C@H](CNS(=O)(=O)c1ccc(Cl)c(C(F)(F)F)c1)c1ccccc1,2.5229,0.7716,3.4011
O=C(CCSC[C@@H](O)CO)Nc1ccccc1Cl,1.755,0.6741,2.5246
COc1ccc(S(=O)(=O)N2CCCCCC2)cc1NC(=O)c1ccc(N2CCCCC2=O)cc1,4.0291,0.6426,2.1663
Cc1ccc(O[C@@H](C)C(=O)N2CCC(C(N)=O)CC2)cc1,1.4862,0.9216,2.3051
CC[NH+](CC)CCNC(=O)[C@@H]1CSc2nccc(=O)n2C1,-0.9939,0.6952,4.4235
CCC(=O)[C@@H](C(=O)[O-])[C@@H](O)C[N+](C)(C)C,-1.6013,0.455,4.3959
CC[C@H](C)[C@H]([NH3+])c1ncc(-c2ccc(C)c(F)c2)[nH]1,2.8533,0.8679,3.6733
COC[C@@H](C)[NH+]1CCN(Cc2cnc3nc(C)cc(C)n23)CC1,0.0815,0.8713,4.3822
Cn1cccc1C[NH+]1CCC([C@@H](O)c2ccc(Cl)cc2)CC1,2.207,0.8913,3.9911
C=C(C)CN(CC)C(=O)CS(=O)(=O)c1ccc(O)cc1,1.5905,0.8164,2.3526
Cc1csc(SC[C@@H](O)COc2ccccc2F)n1,3.1226,0.8214,2.6918
[O-]c1nc(-c2ccncc2)nc2c1C[NH+](Cc1ccncc1)CC2,0.1484,0.7625,4.2621
C[C@@H](NC(=O)c1ccc(OCc2cscn2)cc1)c1ccccc1,4.2131,0.7031,2.3536
Cc1ccc(C)c(NC(=O)C[C@H]2C(=O)N=C3Nc4ccccc4N32)c1,2.8289,0.8989,2.8376
O=C(Nc1cc(Br)ccc1F)C(=O)N1CC[C@H](O)C1,1.1199,0.7678,2.6538
Cc1ccc(NC(=O)[C@H]2CSCN2C(=O)[C@@H]2CCC[NH+](C)C2)c(C)c1,1.0681,0.8571,4.185
CC[C@H](C)N(C)C(=O)c1sc2cccc(F)c2c1N,3.4931,0.9142,2.9244
C[C@H]1CCC[C@]2(CC1)C[NH+]=C(N)N2c1ccccc1F,1.38,0.8223,4.4707
Cc1nc(NCCNC(=O)C(C)(C)C)c2c3c(sc2n1)CCCC3,3.4527,0.8145,2.54
O=C(NCCCC(=O)N1Cc2ccccc2C1)c1c(F)cccc1F,3.0172,0.8388,2.0838
Cc1nc(SCC(=O)Nc2cc(Cl)ccc2F)c2ccccc2n1,4.4615,0.5264,2.0271
COc1ccc(S(=O)(=O)NCC[C@H]2C=c3ccc(OC)cc3=[NH+]C2=O)cc1,-1.2905,0.6489,3.6182
CC(C)(C)[C@@H](NS(=O)(=O)c1cccc(C(N)=O)c1)c1ccccc1,2.8512,0.8658,2.5307
O=C(C[C@@H](O)c1ccccc1)NC[C@H](c1ccccc1)[NH+]1CCCC1,1.6463,0.7244,3.9092
Brc1ccc2nc(CSc3nnc(-c4c[nH]c5ccccc45)o3)cn2c1,4.9204,0.3956,2.6618
Cc1nn(-c2ccc(C(=O)N3CCOC[C@H]3C3CC3)cc2)c(C)c1Cl,3.3935,0.8268,2.8446
COc1cccc(CCCN2CC[NH2+]CC2)c1,0.5068,0.8216,3.0301
COc1cc(C(=O)[O-])cc(OC)c1OCc1csc(C)n1,1.4112,0.8108,2.5606
N#C/C(=C\c1ccc(OC(F)(F)F)cc1)C(=O)Nc1cc(Cl)ccc1N1CCOCC1,4.6209,0.5066,2.4154
Cc1cccc(COc2cccc3c2CC[C@H]3O)n1,2.9486,0.908,2.6449
CCc1ccccc1NC(=O)C[S@@](=O)Cc1ccc(C(=O)N(C)C)cc1,2.8382,0.807,2.6413
Cc1ccc(NC(=O)Cc2ccc3c(c2)CCO3)nc1,2.5061,0.929,2.0643
Cc1cccc(-c2noc(CN(C(=O)c3ccc(C)c(C)c3)C(C)C)n2)c1,4.7127,0.6293,2.1682
C[NH2+][C@@H](Cc1ncnc2c1CCCC2)C(C)C,1.1157,0.859,4.0745
COc1cc2nc(NC(=O)[C@@H](C)Oc3ccccc3)sc2cc1OC,3.7195,0.7066,2.3926
C[C@@H]1SCCC[C@]1(CC(=O)[O-])C(C)(C)[NH3+],0.0488,0.7667,5.254
Cc1ccc(SCC(F)(F)F)c(NC(=O)N(C)CCC#N)c1,4.0268,0.7992,2.6023
Cc1ncccc1NC(=O)[C@@H]1COCCN1,0.3169,0.7718,2.8736
CS(=O)(=O)NC1CCN(C(=O)C=C2CCSCC2)CC1,0.98,0.7992,3.0237
OCC[NH+](CCN1CCOCC1)Cc1ccc(O)cc1O,-1.1928,0.5365,3.9642
C#CCNC(=O)c1cn2ccccc2n1,0.6973,0.7361,2.5082
Cc1cccc(-c2nc(C(N)=O)c3[nH]c(=O)n(-c4ccc(C)c(C)c4)c3n2)c1,2.8,0.572,2.4158
CO[C@H]1CCC[NH+](C[C@@H]2C[C@@H]2c2ccccc2)C1,1.4838,0.8578,4.6185
CC(C)N(Cc1ccc(F)cc1)c1ccc(C[NH3+])cc1,2.9826,0.8829,2.5302
CN1O[C@@H](CC(=O)NC2CCCC2)N(c2ccc(Cl)cc2)C1=O,2.9184,0.9106,3.0276
CC(=O)Nc1nc(C(=O)O[C@H](c2ccccc2)c2nccs2)cs1,3.5044,0.6893,2.8936
N#Cc1ccccc1NC(=O)COc1ccc(Cl)cc1Br,3.9917,0.8595,1.8772
COC(=O)[C@@H]1CS[C@H]2c3ccccc3C(=O)N12,1.4294,0.7136,3.0716
C[C@@H](OC(=O)CC1=c2ccccc2=[NH+]C1)C(=O)NC1CCCC1,-1.0683,0.7155,3.6723
Cc1nc(C(C)(C)NC(=O)Nc2cccc(F)c2C)sc1C,4.2643,0.851,2.5472
O=C1c2ccccc2S(=O)(=O)N1C[C@@H](c1ccco1)[NH+]1CCCCC1,1.2342,0.8998,4.1179
CC(=O)c1cccc(-c2ccc(NC(=O)N3CCOC[C@H](O)C3)cc2)c1,2.7812,0.8261,2.5171
Cn1ccc(C[NH+](C)Cc2cccc(OC(F)(F)F)c2)c1,2.1386,0.8991,3.8792
CCn1nc(C(C)C)cc1C(=O)Nc1ccc(N2CC[NH+](C)CC2)cc1C,1.9218,0.8505,3.3241
CC(C)OC(=O)c1ccc2ncc3c(=O)[nH]c(N)nc3c2c1,1.6187,0.5538,2.5076
C[C@@H](OC(=O)c1n[nH]c2ccccc12)C(=O)N1CCCC1,1.7306,0.879,2.5305
COCCNC(=O)Cc1ccc(NC(=O)Nc2ccc(Cl)cc2)cc1,3.2891,0.6506,1.7463
Fc1ccc(C[C@H]2CCCC[NH2+]2)cc1,1.4841,0.7414,3.7703
Cc1ccc(S(=O)(=O)N2CCN(Cc3cccc4cccnc34)CC2)c(C)c1,3.3581,0.667,2.1096
N=C1C=CC2=NC(C(=O)[O-])=C[C@@H]2C1,-0.3293,0.6131,5.1626
Cc1cc(C)c2c(-c3ccccc3)nc(SCC(=O)N3CC(=O)Nc4ccccc43)n2n1,4.0905,0.4628,2.5885
C[C@H]1CN(c2cc(CNC(=O)CCCC(C)(C)C)cc[nH+]2)CCO1,2.5584,0.8679,3.8182
Cc1ncc([C@H](C)[NH2+]CCOc2cccc(F)c2)s1,2.294,0.8266,3.7343
COC[C@H](O)CNc1nc2ccc(N)cc2o1,0.8292,0.6774,2.9736
O=C(CN1CCN(C(=O)[C@@H]2CCC(=O)N2)CC1)Nc1ccccc1Cl,0.7013,0.8381,2.5338
Cc1cc(Cl)ccc1NC(=O)CN(c1cc(Cl)ccc1Cl)S(C)(=O)=O,4.3599,0.7469,2.0865
C[C@@H](NC(=O)Nc1ccccc1)C(=O)Nc1ccc(Br)c(C(F)(F)F)c1,4.6166,0.6337,2.441
C[C@H]1CC[C@]2(CC(=O)NC(=O)[C@@H]2c2cccc(Cl)c2)C1,3.2765,0.7937,4.0052
O=C(OCc1cc(-c2ccco2)on1)c1ccccc1S(=O)(=O)C(F)F,3.2879,0.592,2.5361
C[C@H]1CCc2n[nH]c(-c3nc(-c4cn(C)cn4)no3)c2C1,1.985,0.7815,3.6295
COc1cc([C@@H]2NC(=O)c3oc4ccc(Cl)cc4c(=O)c32)cc(OC)c1OC,3.305,0.7087,2.913
CCCCCC(=O)N(CC)CC(C)(C)O,2.1861,0.6633,2.3181
Cc1ccn2c(NC(=O)c3ccccc3F)c(-c3ccc(F)cc3)nc2c1,4.8402,0.5414,2.144
CCCc1c(O)ccc2c(C(F)(F)F)noc12,3.5047,0.8603,2.6011
CON(C)C(=O)COc1ccc(F)cc1,1.2243,0.7143,1.9178
C[C@H](NC(=O)C(C)(C)C)C(=O)N1CCN(c2ncccc2F)CC1,1.4201,0.916,2.7248
CCC[C@H](O)c1cc2c(cc1NC(=O)c1ccco1)OCCO2,3.1366,0.8733,2.8364
